waypoint_km,waypoint_name,lat,lon,month,T_soil_C,moisture_m3m3,k_soil_WmK,soil_layer,burial_depth_m
0.0,Kota (Dispatch),25.18,75.83,1,25.3,0.4517,2.2122,stl4,1.2
40.0,Bundi,25.43,75.65,1,24.93,0.438,2.2122,stl4,1.2
110.0,Sawai Madhopur,26.0,76.35,1,23.9,0.3519,1.759,stl4,1.2
210.0,Bharatpur,27.22,77.49,1,23.68,0.3536,1.4157,stl4,1.2
250.0,Mathura (crossing),27.49,77.67,1,23.5,0.3478,1.3556,stl4,1.2
330.0,Faridabad,28.41,77.31,1,23.44,0.2823,1.2374,stl4,1.2
340.0,Piyala,28.48,77.28,1,23.48,0.2771,1.2268,stl4,1.2
360.0,Bijwasan (Receipt),28.52,77.08,1,23.42,0.2637,1.1989,stl4,1.2
0.0,Kota (Dispatch),25.18,75.83,2,23.7,0.4406,2.2122,stl4,1.2
40.0,Bundi,25.43,75.65,2,23.3,0.4287,2.2122,stl4,1.2
110.0,Sawai Madhopur,26.0,76.35,2,21.95,0.3398,1.7416,stl4,1.2
210.0,Bharatpur,27.22,77.49,2,21.46,0.3425,1.3968,stl4,1.2
250.0,Mathura (crossing),27.49,77.67,2,21.28,0.3376,1.3386,stl4,1.2
330.0,Faridabad,28.41,77.31,2,21.16,0.2789,1.2306,stl4,1.2
340.0,Piyala,28.48,77.28,2,21.21,0.2741,1.2208,stl4,1.2
360.0,Bijwasan (Receipt),28.52,77.08,2,21.08,0.2613,1.1937,stl4,1.2
0.0,Kota (Dispatch),25.18,75.83,3,24.13,0.4297,2.2122,stl4,1.2
40.0,Bundi,25.43,75.65,3,23.69,0.4189,2.2122,stl4,1.2
110.0,Sawai Madhopur,26.0,76.35,3,22.44,0.3282,1.7244,stl4,1.2
210.0,Bharatpur,27.22,77.49,3,21.76,0.3314,1.3773,stl4,1.2
250.0,Mathura (crossing),27.49,77.67,3,21.48,0.3267,1.32,stl4,1.2
330.0,Faridabad,28.41,77.31,3,21.16,0.2742,1.221,stl4,1.2
340.0,Piyala,28.48,77.28,3,21.18,0.2699,1.2119,stl4,1.2
360.0,Bijwasan (Receipt),28.52,77.08,3,21.02,0.2577,1.1859,stl4,1.2
0.0,Kota (Dispatch),25.18,75.83,4,25.76,0.4176,2.2122,stl4,1.2
40.0,Bundi,25.43,75.65,4,25.25,0.4077,2.2122,stl4,1.2
110.0,Sawai Madhopur,26.0,76.35,4,24.19,0.3152,1.7045,stl4,1.2
210.0,Bharatpur,27.22,77.49,4,23.56,0.3195,1.3557,stl4,1.2
250.0,Mathura (crossing),27.49,77.67,4,23.26,0.3147,1.2989,stl4,1.2
330.0,Faridabad,28.41,77.31,4,22.85,0.2673,1.2065,stl4,1.2
340.0,Piyala,28.48,77.28,4,22.86,0.2633,1.1979,stl4,1.2
360.0,Bijwasan (Receipt),28.52,77.08,4,22.67,0.2519,1.1729,stl4,1.2
0.0,Kota (Dispatch),25.18,75.83,5,27.82,0.4083,2.2122,stl4,1.2
40.0,Bundi,25.43,75.65,5,27.28,0.399,2.2122,stl4,1.2
110.0,Sawai Madhopur,26.0,76.35,5,26.45,0.3041,1.6866,stl4,1.2
210.0,Bharatpur,27.22,77.49,5,25.95,0.3097,1.3373,stl4,1.2
250.0,Mathura (crossing),27.49,77.67,5,25.66,0.3051,1.2814,stl4,1.2
330.0,Faridabad,28.41,77.31,5,25.32,0.2614,1.1938,stl4,1.2
340.0,Piyala,28.48,77.28,5,25.34,0.2576,1.1857,stl4,1.2
360.0,Bijwasan (Receipt),28.52,77.08,5,25.15,0.2466,1.1608,stl4,1.2
0.0,Kota (Dispatch),25.18,75.83,6,30.19,0.399,2.2122,stl4,1.2
40.0,Bundi,25.43,75.65,6,29.65,0.3901,2.2122,stl4,1.2
110.0,Sawai Madhopur,26.0,76.35,6,29.2,0.2925,1.6675,stl4,1.2
210.0,Bharatpur,27.22,77.49,6,28.89,0.2994,1.3173,stl4,1.2
250.0,Mathura (crossing),27.49,77.67,6,28.7,0.2929,1.2584,stl4,1.2
330.0,Faridabad,28.41,77.31,6,28.26,0.2551,1.1801,stl4,1.2
340.0,Piyala,28.48,77.28,6,28.27,0.2517,1.1724,stl4,1.2
360.0,Bijwasan (Receipt),28.52,77.08,6,28.09,0.2409,1.1478,stl4,1.2
0.0,Kota (Dispatch),25.18,75.83,7,30.43,0.462,2.2122,stl4,1.2
40.0,Bundi,25.43,75.65,7,30.03,0.4274,2.2122,stl4,1.2
110.0,Sawai Madhopur,26.0,76.35,7,29.65,0.3233,1.717,stl4,1.2
210.0,Bharatpur,27.22,77.49,7,29.83,0.2975,1.3136,stl4,1.2
250.0,Mathura (crossing),27.49,77.67,7,29.72,0.2947,1.2618,stl4,1.2
330.0,Faridabad,28.41,77.31,7,29.41,0.2531,1.1755,stl4,1.2
340.0,Piyala,28.48,77.28,7,29.44,0.2497,1.1681,stl4,1.2
360.0,Bijwasan (Receipt),28.52,77.08,7,29.27,0.2393,1.1438,stl4,1.2
0.0,Kota (Dispatch),25.18,75.83,9,29.17,0.5,2.2122,stl4,1.2
40.0,Bundi,25.43,75.65,9,28.98,0.5,2.2122,stl4,1.2
110.0,Sawai Madhopur,26.0,76.35,9,28.8,0.4088,1.8331,stl4,1.2
210.0,Bharatpur,27.22,77.49,9,29.45,0.3726,1.4466,stl4,1.2
250.0,Mathura (crossing),27.49,77.67,9,29.33,0.3891,1.419,stl4,1.2
330.0,Faridabad,28.41,77.31,9,29.15,0.3031,1.2776,stl4,1.2
340.0,Piyala,28.48,77.28,9,29.17,0.3073,1.2854,stl4,1.2
360.0,Bijwasan (Receipt),28.52,77.08,9,29.06,0.2854,1.2436,stl4,1.2
0.0,Kota (Dispatch),25.18,75.83,10,28.88,0.4805,2.2122,stl4,1.2
40.0,Bundi,25.43,75.65,10,28.72,0.4817,2.2122,stl4,1.2
110.0,Sawai Madhopur,26.0,76.35,10,28.43,0.3937,1.8145,stl4,1.2
210.0,Bharatpur,27.22,77.49,10,29.05,0.371,1.4439,stl4,1.2
250.0,Mathura (crossing),27.49,77.67,10,28.9,0.3836,1.411,stl4,1.2
330.0,Faridabad,28.41,77.31,10,28.7,0.3078,1.2864,stl4,1.2
340.0,Piyala,28.48,77.28,10,28.7,0.3118,1.2936,stl4,1.2
360.0,Bijwasan (Receipt),28.52,77.08,10,28.61,0.2907,1.2541,stl4,1.2
0.0,Kota (Dispatch),25.18,75.83,11,27.67,0.4693,2.2122,stl4,1.2
40.0,Bundi,25.43,75.65,11,27.45,0.4702,2.2122,stl4,1.2
110.0,Sawai Madhopur,26.0,76.35,11,26.48,0.3813,1.7987,stl4,1.2
210.0,Bharatpur,27.22,77.49,11,27.13,0.3643,1.4332,stl4,1.2
250.0,Mathura (crossing),27.49,77.67,11,27.05,0.3739,1.3964,stl4,1.2
330.0,Faridabad,28.41,77.31,11,27.03,0.3055,1.2821,stl4,1.2
340.0,Piyala,28.48,77.28,11,27.0,0.3093,1.2891,stl4,1.2
360.0,Bijwasan (Receipt),28.52,77.08,11,26.99,0.2887,1.2501,stl4,1.2
0.0,Kota (Dispatch),25.18,75.83,12,25.68,0.4612,2.2122,stl4,1.2
40.0,Bundi,25.43,75.65,12,25.39,0.4618,2.2122,stl4,1.2
110.0,Sawai Madhopur,26.0,76.35,12,23.84,0.3713,1.7855,stl4,1.2
210.0,Bharatpur,27.22,77.49,12,24.43,0.3563,1.4201,stl4,1.2
250.0,Mathura (crossing),27.49,77.67,12,24.43,0.3637,1.3808,stl4,1.2
330.0,Faridabad,28.41,77.31,12,24.61,0.3026,1.2767,stl4,1.2
340.0,Piyala,28.48,77.28,12,24.58,0.3062,1.2835,stl4,1.2
360.0,Bijwasan (Receipt),28.52,77.08,12,24.62,0.2862,1.2452,stl4,1.2
